#REF_BACEN;NU_ORDEM;NU_INDICE;GT_GEOMETRIA
513320062;1;5;POLYGON ((-53.833437468379998 -25.815951913669998 0,-53.833356836130001 -25.816684707789999 0,-53.833065483749998 -25.816468486830001 0,-53.832921533860002 -25.816334505979999 0,-53.832559985140001 -25.815767543829999 0,-53.832088719509997 -25.815613836059999 0,-53.83189371516 -25.815615385819999 0,-53.831532938419898 -25.815822474410002 0,-53.830775685230002 -25.815900185069999 0,-53.829781532029997 -25.815852988930001 0,-53.829169271230001 -25.81584255225 0,-53.829085847149997 -25.81576320249 0,-53.828293395160003 -25.81585081599 0,-53.82830785102 -25.815049033249998 0,-53.828320288340002 -25.814468893560001 0,-53.829677308299999 -25.81429846644 0,-53.831019022630002 -25.814250158189999 0,-53.831673967459999 -25.814328503399999 0,-53.832374778419997 -25.814581796159999 0,-53.83335709208 -25.815236742250001 0,-53.834139952409998 -25.815932924910001 0,-53.833437468379998 -25.815951913669998 0))
513320062;1;6;POLYGON ((-53.830330389979999 -25.816542624019899 0,-53.828161325149999 -25.816630752590001 0,-53.828157664499997 -25.816371058990001 0,-53.828392005360001 -25.81623612556 0,-53.828429357159997 -25.815872397050001 0,-53.829033930369903 -25.815770492270001 0,-53.828795937770003 -25.816007331680002 0,-53.828914599649998 -25.816149794440001 0,-53.829139898089998 -25.8159272751099 0,-53.830458495389998 -25.81593194421 0,-53.830742629920003 -25.815948604940001 0,-53.831131411240001 -25.81590813651 0,-53.831530921400002 -25.81583145027 0,-53.831860977950001 -25.815717939700001 0,-53.832085505199998 -25.815733800050001 0,-53.832451682200002 -25.815905225289999 0,-53.832915121660001 -25.816327431209899 0,-53.833031408849997 -25.81644046237 0,-53.833349397079999 -25.8167183919 0,-53.833260427559999 -25.817502345579999 0,-53.833225156060003 -25.817606135179901 0,-53.8330910492 -25.817479282570002 0,-53.832767882680002 -25.817115148780001 0,-53.832324016759998 -25.816664091770001 0,-53.832238288070002 -25.816600768730002 0,-53.832144512760003 -25.816564005229999 0,-53.83200827692 -25.816546698309999 0,-53.831880087709997 -25.81654146392 0,-53.831658920380001 -25.816533265619999 0,-53.831436847989998 -25.816556558670001 0,-53.83113572928 -25.816588722900001 0,-53.830410856249998 -25.816540209519999 0,-53.830330389979999 -25.816542624019899 0))
513320062;1;7;POLYGON ((-53.830975032589997 -25.816698169590001 0,-53.83101855428 -25.81673791926 0,-53.831291658369999 -25.81686676739 0,-53.831455564510001 -25.816894493540001 0,-53.831616211730001 -25.8168830288 0,-53.831759387250003 -25.816911269039998 0,-53.83187842289 -25.817002286200001 0,-53.830939826330003 -25.817459428060001 0,-53.830038780690003 -25.817960028750001 0,-53.829903598149997 -25.81792770905 0,-53.829734297069997 -25.817797744939998 0,-53.829720734810003 -25.817664590269999 0,-53.829775068819998 -25.817325636010001 0,-53.829941170589997 -25.817009200920001 0,-53.830095469169997 -25.81685420738 0,-53.830402118350001 -25.816790144270001 0,-53.830817171390002 -25.816851575479902 0,-53.83117979675 -25.81692073947 0,-53.831217874819998 -25.816878836520001 0,-53.830941772400003 -25.8167607461899 0,-53.830518436889903 -25.816678348530001 0,-53.830396579080002 -25.816671250100001 0,-53.830296178940003 -25.816690711210001 0,-53.830116836339997 -25.816736876930001 0,-53.829983242010002 -25.81679912637 0,-53.829857694319998 -25.816892764249999 0,-53.829746749369903 -25.817025045529999 0,-53.829643851050001 -25.817193544049999 0,-53.829633255449998 -25.817255242209999 0,-53.8296245485 -25.81728448186 0,-53.82941385206 -25.81799081126 0,-53.829545805400002 -25.818136934459901 0,-53.828625785029999 -25.81861235737 0,-53.828594187 -25.818508497570001 0,-53.828537703069898 -25.818334252210001 0,-53.828484308359997 -25.81820028209 0,-53.828447628139998 -25.81808320176 0,-53.828403657769897 -25.817982273270001 0,-53.828311411409999 -25.817758237290001 0,-53.828238204820003 -25.817671314279998 0,-53.82816471217 -25.81757832185 0,-53.828126088239898 -25.817461184460001 0,-53.828146480050002 -25.817273483760001 0,-53.828199496339998 -25.81707327174 0,-53.828248436929997 -25.816928544709999 0,-53.828263575649999 -25.816840336009999 0,-53.828254243810001 -25.816833758430001 0,-53.830413320269997 -25.816560749939999 0,-53.830875790859999 -25.816616076460001 0,-53.830975032589997 -25.816698169590001 0))
513320063;1;0;POLYGON ((-52.98306301 -25.657455146819999 0,-52.982669110170001 -25.658642880679999 0,-52.982330387749997 -25.658445289229899 0,-52.982035908450001 -25.65843609153 0,-52.981819650619897 -25.658240822 0,-52.981585486779998 -25.658203500959999 0,-52.98109109288 -25.65825285739 0,-52.979815296909997 -25.657771810460002 0,-52.979298270549997 -25.657679129830001 0,-52.979053094020003 -25.65725324353 0,-52.979125838690003 -25.656868533459999 0,-52.979146009620003 -25.656756902310001 0,-52.979329380460001 -25.656601156619999 0,-52.979756903030001 -25.657694322329899 0,-52.979887978059999 -25.657717034889899 0,-52.980109070879998 -25.657328136589999 0,-52.980323902839999 -25.657489096630002 0,-52.980351178009997 -25.657312727699999 0,-52.980497746209998 -25.657092336 0,-52.980759162369999 -25.657331010139998 0,-52.980874386629999 -25.65716062413 0,-52.980915844069997 -25.656971268580001 0,-52.980844550389897 -25.65661405474 0,-52.980624410609998 -25.656454340349999 0,-52.981128348829998 -25.65576862072 0,-52.98207422174 -25.65655386057 0,-52.982590073540003 -25.656999669049998 0,-52.98306301 -25.657455146819999 0))
513320063;1;1;POLYGON ((-52.982871163029998 -25.649768391359999 0,-52.984967775709997 -25.64977185863 0,-52.984815580099998 -25.650254975479999 0,-52.984476916459997 -25.650461244860001 0,-52.984710825249998 -25.65158341695 0,-52.984370663950003 -25.652981264289998 0,-52.984006939479897 -25.653997796310001 0,-52.982772739790001 -25.6534228069 0,-52.982932019869999 -25.65278186379 0,-52.982950544 -25.652238849749999 0,-52.982830932269998 -25.65178520784 0,-52.982829592420003 -25.650815551819999 0,-52.98315335745 -25.650410120379998 0,-52.982923763450003 -25.650051841220002 0,-52.982871163029998 -25.649768391359999 0))
513320064;1;0;POLYGON ((-49.483494972159903 -27.515191253339999 0,-49.484009956290002 -27.514843945070002 0,-49.484072988199998 -27.51483086152 0,-49.484096457529901 -27.514857623329998 0,-49.484082375930001 -27.514903415740001 0,-49.484055553840001 -27.514950992260001 0,-49.484097128080002 -27.515055660510001 0,-49.484060918259999 -27.515150813390001 0,-49.483814155029997 -27.51536490706 0,-49.483669315749999 -27.5153411189 0,-49.483615671560003 -27.515288784909998 0,-49.483556662970003 -27.51526499673 0,-49.483494972159903 -27.515191253339999 0))
513320064;1;1;POLYGON ((-49.485624560159998 -27.51434195017 0,-49.485690274280003 -27.51443472483 0,-49.485734530729999 -27.514532257079999 0,-49.48580158595 -27.514732078969999 0,-49.48565406446 -27.51478679205 0,-49.485595055860003 -27.514746351949999 0,-49.485356339260001 -27.51481295916 0,-49.485337563800002 -27.514779655560002 0,-49.485251733109997 -27.514793928540001 0,-49.48518467788 -27.514798686190002 0,-49.485106893820003 -27.514489438049999 0,-49.485361703679999 -27.514415694139998 0,-49.485624560159998 -27.51434195017 0))
513320064;1;2;POLYGON ((-49.483080563119998 -27.51701263587 0,-49.482869846489997 -27.517070995739999 0,-49.482572121289998 -27.517163768100001 0,-49.482529205939997 -27.517109056199999 0,-49.482702314549996 -27.516704474859999 0,-49.482764005360004 -27.5164777018 0,-49.482835732989997 -27.51621411547 0,-49.48286523729 -27.515945310980001 0,-49.482982359529998 -27.51576875101 0,-49.483145974279999 -27.51581870595 0,-49.4833015424 -27.515828221180001 0,-49.483502708080003 -27.51576875101 0,-49.483691665339997 -27.515727244680001 0,-49.483852597880002 -27.515560727960001 0,-49.483935746359997 -27.515498878830002 0,-49.484083267850004 -27.515448923739999 0,-49.484199044279997 -27.51526695918 0,-49.484282192759999 -27.515109957060002 0,-49.484335836939998 -27.515005288849999 0,-49.484349247979999 -27.51489110524 0,-49.484531638189999 -27.51480308863 0,-49.484676477480001 -27.51492916646 0,-49.484743532709999 -27.5151361241 0,-49.484834727809996 -27.515383076660001 0,-49.484893736410001 -27.515599548689998 0,-49.483769890829997 -27.516567803 0,-49.483413157039998 -27.516838984749999 0,-49.483080563119998 -27.51701263587 0))
513320065;1;0;POLYGON ((-53.16793704426 -26.275031721560001 0,-53.167979959599997 -26.274925897919999 0,-53.16817307865 -26.274858555550001 0,-53.168494943730003 -26.274820074179999 0,-53.168623689759997 -26.274916277580001 0,-53.168902639499997 -26.27546463545 0,-53.169203046909999 -26.275628180270001 0,-53.169728759880002 -26.27567628165 0,-53.17016864216 -26.27583982618 0,-53.17081237232 -26.27627273705 0,-53.170790914649999 -26.279928364469999 0,-53.170308117019999 -26.279995703899999 0,-53.169975523109997 -26.280418979389999 0,-53.167432788959999 -26.280303540769999 0,-53.167550806160001 -26.279976464059999 0,-53.167346958270002 -26.27974558583 0,-53.166907075989997 -26.2798225453 0,-53.16645646488 -26.280149622429899 0,-53.166145328630002 -26.28025544131 0,-53.165834192390001 -26.27987064493 0,-53.165565971489897 -26.279707106089901 0,-53.164879325980003 -26.27951470715 0,-53.164557460899999 -26.278725868159999 0,-53.164321426500003 -26.278523847559999 0,-53.164117578620001 -26.277667661100001 0,-53.16343093311 -26.277157794250002 0,-53.162980322 -26.276580583800001 0,-53.163055423849997 -26.27566666137 0,-53.1655337849799 -26.276542103 0,-53.165802005880003 -26.276955770920001 0,-53.1658985653999 -26.277186654699999 0,-53.165920023079998 -26.277609940440001 0,-53.16622043049 -26.278196765840001 0,-53.16645646488 -26.27813904544 0,-53.16645646488 -26.277792722440001 0,-53.166316990010003 -26.277571459979999 0,-53.16622043049 -26.277013491910001 0,-53.1664028207 -26.276830708679999 0,-53.1677117387 -26.277282856140001 0,-53.167701009859996 -26.277542599629999 0,-53.167851213569897 -26.277667661100001 0,-53.168044332619999 -26.277619560550001 0,-53.168441299549997 -26.278110185229998 0,-53.168720249289997 -26.277638800769999 0,-53.169020656699999 -26.277763862139999 0,-53.169117216220002 -26.277504119149999 0,-53.168580774420001 -26.27678260779 0,-53.168280367009899 -26.276955770920001 0,-53.168001417269998 -26.276869189389998 0,-53.167872671239998 -26.276494001980002 0,-53.16793704426 -26.275031721560001 0))
513320065;1;1;POLYGON ((-53.170850625859998 -26.273328465270001 0,-53.170818439350001 -26.275348745910001 0,-53.169573894369996 -26.274559878609999 0,-53.169509521350001 -26.274348230369998 0,-53.16928421579 -26.274434813789998 0,-53.169466606 -26.274896590920001 0,-53.169241300449997 -26.27508899751 0,-53.168554654940003 -26.274280887669999 0,-53.16864048563 -26.273934553149999 0,-53.1683615358899 -26.273492013110001 0,-53.16830789171 -26.273645940270001 0,-53.16817914568 -26.273645940270001 0,-53.168114772659997 -26.27319377864 0,-53.170850625859998 -26.273328465270001 0))
