band5,band6,band7,band8,class
255,248,222,185,cloud
255,237,215,181,cloud
255,236,212,177,cloud
255,233,207,173,cloud
255,232,205,170,cloud
255,229,204,168,cloud
255,224,200,167,cloud
249,220,198,166,cloud
245,213,190,161,cloud
230,204,180,152,cloud
207,188,165,136,cloud
181,165,145,117,cloud
151,138,124,100,cloud
126,110,100,77,cloud
89,71,62,49,cloud
77,65,53,42,cloud
176,156,134,111,cloud
190,170,148,123,cloud
202,181,159,133,cloud
213,190,169,141,cloud
221,197,174,146,cloud
234,205,179,149,cloud
255,210,182,153,cloud
255,217,191,161,cloud
255,228,204,170,cloud
255,234,208,172,cloud
255,237,210,175,cloud
255,253,218,185,cloud
255,255,230,196,cloud
255,255,244,206,cloud
255,255,244,205,cloud
255,255,241,199,cloud
255,255,233,192,cloud
255,255,224,186,cloud
255,255,221,187,cloud
255,255,224,189,cloud
255,255,223,187,cloud
255,245,218,182,cloud
255,240,213,176,cloud
255,237,209,174,cloud
255,233,207,172,cloud
255,230,204,171,cloud
255,226,200,168,cloud
255,226,201,168,cloud
255,224,198,165,cloud
248,215,189,156,cloud
213,199,177,145,cloud
194,175,158,129,cloud
171,153,138,114,cloud
148,131,117,98,cloud
111,96,85,72,cloud
92,80,67,55,cloud
180,160,139,116,cloud
195,174,152,125,cloud
208,187,163,136,cloud
219,196,172,143,cloud
226,203,176,146,cloud
231,205,177,145,cloud
249,207,181,147,cloud
255,217,190,158,cloud
255,228,202,168,cloud
255,235,207,171,cloud
255,237,209,175,cloud
255,248,219,185,cloud
255,255,235,196,cloud
255,255,243,204,cloud
255,255,246,205,cloud
255,255,240,198,cloud
255,255,228,189,cloud
255,255,220,185,cloud
255,255,221,187,cloud
255,255,227,191,cloud
255,255,227,188,cloud
255,251,219,181,cloud
255,241,211,175,cloud
255,238,211,176,cloud
255,235,210,176,cloud
255,234,209,175,cloud
255,229,204,170,cloud
255,228,203,169,cloud
255,227,199,165,cloud
255,219,193,159,cloud
233,203,182,149,cloud
202,183,163,133,cloud
183,164,142,117,cloud
165,150,129,104,cloud
140,126,108,83,cloud
111,100,89,69,cloud
188,166,144,120,cloud
200,177,155,129,cloud
213,189,166,139,cloud
220,197,172,143,cloud
225,202,176,144,cloud
221,199,172,141,cloud
231,199,171,141,cloud
255,208,180,150,cloud
255,222,192,160,cloud
254,232,201,167,cloud
255,236,207,173,cloud
255,247,220,186,cloud
255,255,235,195,cloud
255,255,239,198,cloud
255,255,239,197,cloud
255,255,231,190,cloud
255,255,219,183,cloud
255,255,218,184,cloud
255,255,223,186,cloud
255,255,227,188,cloud
255,255,225,187,cloud
255,255,218,182,cloud
255,240,214,178,cloud
255,238,213,180,cloud
255,238,212,181,cloud
255,239,212,177,cloud
255,233,206,172,cloud
255,230,203,168,cloud
255,223,197,161,cloud
249,214,189,151,cloud
231,207,181,144,cloud
206,187,163,131,cloud
186,167,148,119,cloud
174,155,137,108,cloud
150,135,122,93,cloud
127,114,105,85,cloud
189,166,145,120,cloud
202,179,155,130,cloud
217,193,168,139,cloud
222,199,174,143,cloud
223,200,175,143,cloud
218,195,168,140,cloud
217,191,167,140,cloud
225,198,172,145,cloud
249,213,182,152,cloud
255,224,193,160,cloud
255,232,204,170,cloud
255,249,222,188,cloud
255,255,235,196,cloud
255,255,233,193,cloud
255,255,227,189,cloud
255,252,220,182,cloud
255,247,215,179,cloud
255,252,217,182,cloud
255,255,223,187,cloud
255,255,223,187,cloud
255,255,222,188,cloud
255,255,222,186,cloud
255,250,219,184,cloud
255,248,219,185,cloud
255,248,219,184,cloud
255,245,215,179,cloud
255,236,210,176,cloud
255,232,207,173,cloud
254,221,195,160,cloud
219,200,174,143,cloud
218,196,170,138,cloud
204,181,157,127,cloud
186,168,148,120,cloud
176,158,141,115,cloud
162,143,130,105,cloud
145,131,117,100,cloud
191,168,144,118,cloud
199,177,151,124,cloud
213,190,165,136,cloud
223,199,176,145,cloud
225,199,175,144,cloud
221,197,171,143,cloud
219,197,172,142,cloud
219,199,173,144,cloud
239,205,178,146,cloud
249,213,185,154,cloud
255,225,200,170,cloud
255,248,219,185,cloud
255,255,227,189,cloud
255,255,225,186,cloud
255,255,222,184,cloud
255,248,218,179,cloud
255,238,213,178,cloud
255,246,215,180,cloud
255,255,221,186,cloud
255,255,221,186,cloud
255,255,223,188,cloud
255,255,225,190,cloud
255,255,225,191,cloud
255,255,228,192,cloud
255,255,227,190,cloud
255,250,222,186,cloud
255,238,216,182,cloud
255,237,211,179,cloud
250,221,196,164,cloud
215,193,172,144,cloud
202,186,166,138,cloud
192,177,159,131,cloud
182,165,151,124,cloud
178,163,146,122,cloud
175,156,139,114,cloud
161,147,130,107,cloud
189,166,142,114,cloud
193,171,146,117,cloud
204,181,155,128,cloud
221,197,173,143,cloud
227,201,177,146,cloud
224,198,175,145,cloud
222,197,172,145,cloud
226,201,174,142,cloud
221,197,170,139,cloud
228,202,176,147,cloud
255,219,193,162,cloud
255,241,207,173,cloud
255,248,213,176,cloud
255,249,215,177,cloud
255,252,217,179,cloud
255,243,213,177,cloud
255,240,210,176,cloud
255,240,212,179,cloud
255,254,219,183,cloud
255,255,219,184,cloud
255,255,221,186,cloud
255,255,227,191,cloud
255,255,228,192,cloud
255,255,232,195,cloud
255,255,234,195,cloud
255,255,229,193,cloud
255,246,221,185,cloud
254,241,214,180,cloud
255,228,202,169,cloud
237,207,186,155,cloud
207,195,179,150,cloud
205,190,173,146,cloud
197,180,161,136,cloud
190,173,152,126,cloud
184,165,145,118,cloud
173,157,139,115,cloud
185,163,140,111,cloud
189,165,141,116,cloud
197,172,146,123,cloud
216,193,166,139,cloud
227,202,177,146,cloud
226,200,174,145,cloud
223,199,173,144,cloud
223,198,170,138,cloud
215,188,162,132,cloud
219,194,165,136,cloud
242,212,180,147,cloud
255,226,194,158,cloud
255,232,201,164,cloud
255,233,203,169,cloud
255,237,207,172,cloud
255,236,206,173,cloud
255,238,207,174,cloud
255,238,210,175,cloud
255,247,214,176,cloud
255,249,215,178,cloud
255,251,216,183,cloud
255,255,227,192,cloud
255,255,228,193,cloud
255,255,230,195,cloud
255,255,232,196,cloud
255,255,233,194,cloud
255,253,224,184,cloud
255,244,217,182,cloud
255,232,208,173,cloud
250,220,200,167,cloud
243,213,193,162,cloud
233,208,188,159,cloud
219,200,179,149,cloud
201,183,162,132,cloud
185,168,148,121,cloud
179,163,144,117,cloud
188,162,137,113,cloud
192,169,143,119,cloud
208,186,160,132,cloud
222,201,176,141,cloud
225,203,178,144,cloud
222,197,171,140,cloud
220,192,163,134,cloud
211,184,156,126,cloud
206,184,155,127,cloud
222,195,166,136,cloud
252,206,179,147,cloud
253,214,186,154,cloud
255,221,192,160,cloud
